G47,G48,G36,G755,G40,G733,G781,G753,G756,G720,G746,G744,G764,G716,G758,G760,G748,G717,G763,G778,G34,G728,G718,G780,G727,G37,G757,G722,G747,G538,G732,G729,G761,G762,G724,G726,G731,G759,G719,G723,G715,G552,G713,G745,G736,G725
6.4319,7.8095,7.7906,8.4592,7.4242,8.0053,7.1838,7.2755,6.8269,6.9068,6.9667,5.5773,8.4432,6.6812,8.1883,8.0389,7.7742,6.797,7.9731,7.65,7.8984,8.1436,6.9173,7.3175,7.1602,8.3326,7.8507,6.7099,7.6902,7.069,5.7757,9.1681,7.7255,6.877,6.9972,7.493,7.4809,7.2702,6.6948,7.0626,7.785,7.0881,11.85,7.437,6.6527,10.024
6.4868,7.8156,7.8565,8.469,7.3308,7.974,7.1993,7.3727,6.869,7.0476,6.9319,5.5928,8.2934,6.6817,8.2432,8.0726,7.8675,6.9657,7.9505,7.6758,7.9195,8.1813,6.8093,7.3537,7.2594,8.3636,7.802,6.8268,7.7305,7.1002,5.7209,9.2264,7.558,6.8115,6.9985,7.6357,7.63,7.4614,6.7771,7.1552,7.7959,7.0685,11.536,7.148,6.5474,9.5949
6.5607,7.8593,8.0345,8.3154,7.606,8.1585,7.4517,7.3861,6.9824,7.2311,7.0434,5.8016,8.2929,6.8076,8.3228,8.2589,7.9748,6.9089,8.1687,7.8665,8.1638,8.3927,7.0195,7.5012,7.4734,8.5526,7.9273,6.8615,7.9288,7.1504,5.9063,9.4158,8.0451,7.1072,7.0441,7.7392,7.8438,7.4464,6.9591,7.1593,7.8243,7.3323,12.068,7.4005,6.8982,9.7332
6.4485,7.8786,7.8648,8.3476,7.4923,7.9607,7.3742,7.4332,6.9761,7.2033,6.9622,5.792,8.4577,6.7223,8.3953,8.3646,7.9872,6.9472,8.2263,7.8901,8.0998,8.2736,6.9419,7.5549,7.2622,8.3163,7.8031,6.7598,7.8998,7.1329,5.9633,9.1933,8.0475,7.3284,6.9757,7.6702,7.7701,7.4924,6.8484,7.1263,7.9583,7.2639,11.566,7.8808,6.6811,9.866
6.573,7.8262,7.9034,8.4268,7.5069,8.0184,7.2315,7.3133,7.0058,7.0851,6.9779,5.6558,8.2728,6.6201,8.2689,8.2133,8.0072,6.8634,8.1166,7.7241,8.0582,8.2728,6.9831,7.387,7.4074,8.3668,7.9633,6.8655,7.855,7.077,5.6401,9.214,7.9509,6.9949,7.0857,7.6949,7.7178,7.4139,6.8645,7.0637,7.9332,7.0709,11.603,7.8882,6.6052,10.306
6.565,7.9488,7.9786,8.5455,7.4854,8.0115,7.4048,7.4669,6.9406,7.1492,6.9551,5.8414,8.4363,6.8386,8.4316,8.3895,8.0784,6.8706,8.1506,7.9623,8.1282,8.2958,7.0547,7.5396,7.4085,8.3804,8.0408,6.7602,7.8957,7.0514,5.8369,9.1458,8.0544,7.2645,7.1138,7.6948,7.7488,7.5634,6.7996,7.2298,7.9549,7.2615,11.423,7.845,6.6397,10.055
7.039,11.213,10.95,8.2586,10.347,13.575,10.681,11.767,10.493,10.546,10.75,5.3724,12.454,11.466,11.759,12.699,9.0826,9.6635,11.059,10.337,9.5811,10.682,9.3948,11.342,9.7997,12.203,12.229,10.268,9.2382,7.1155,6.5803,11.746,12.83,12.188,9.1407,9.9488,10.358,12.648,9.6284,11.419,11.114,7.343,11.361,10.47,12.0,10.737
6.8125,11.195,11.005,8.3862,10.683,13.801,10.851,11.591,10.59,10.12,10.623,5.8485,12.354,11.565,11.62,12.643,8.8988,9.5945,10.896,10.293,9.536,10.379,9.3389,11.539,9.4184,12.322,12.332,9.8231,9.0191,7.5074,6.3135,11.662,12.771,12.239,9.1836,9.9387,10.56,12.517,9.5351,11.031,11.175,7.3667,11.261,10.323,12.07,10.722
6.9748,11.409,9.8967,7.9159,10.196,13.28,10.201,11.797,9.2079,9.6936,10.57,5.9998,11.745,10.437,10.489,11.049,8.8402,9.6118,9.9992,9.6132,9.2423,10.771,9.1909,10.93,9.2196,11.763,10.817,9.2702,8.787,7.6576,6.7683,11.363,11.707,11.204,9.0051,9.827,10.665,10.452,8.737,11.462,10.274,7.5733,10.777,9.9455,10.94,10.705
7.2073,11.644,11.486,8.7827,10.63,13.836,10.795,11.738,10.226,10.523,10.613,5.5893,12.483,11.59,11.76,12.537,9.1882,9.3361,10.813,10.399,9.4888,10.78,9.2923,11.675,9.7025,12.541,12.098,10.209,9.3201,7.5353,6.5812,11.807,12.474,12.066,9.2254,10.088,10.635,12.189,9.6475,11.018,11.47,7.4853,11.497,10.592,11.682,10.448
6.9932,11.528,11.182,8.4446,10.57,13.868,10.786,11.918,10.519,10.325,10.582,5.6448,12.607,11.766,11.813,12.817,9.1225,9.2743,10.881,10.275,9.4979,10.611,8.9463,11.886,9.3326,12.67,12.435,10.205,9.3376,7.3755,6.4922,11.678,12.754,12.372,9.5321,10.02,10.348,12.545,9.4758,11.199,11.38,7.2615,11.348,10.644,12.267,10.332
6.8997,11.947,10.404,8.3409,10.636,13.867,10.608,12.14,9.6391,10.186,10.697,5.831,12.292,11.016,10.962,11.368,9.0831,9.5315,9.9003,10.006,9.0851,10.896,9.2017,11.464,9.1965,12.227,11.343,9.6131,9.1381,7.5561,6.696,11.462,11.997,11.606,9.2936,9.8916,10.726,11.161,9.0576,11.519,10.832,7.4376,11.013,10.363,11.318,10.094
7.1211,7.1899,6.9894,8.5936,6.6066,7.1588,6.5291,6.578,6.268,6.5186,6.4132,4.9285,7.342,6.0282,7.6743,7.5628,7.2423,6.5214,7.3494,7.1405,7.5455,7.9773,6.4317,6.8421,6.8376,7.8456,7.3612,6.1494,7.1213,6.1928,5.8094,8.9466,7.3031,6.2639,6.2831,7.3024,7.356,6.8053,6.5966,6.5421,7.101,8.6951,9.1527,7.0354,5.7671,8.5914
6.5124,7.732,7.4619,8.3154,7.1338,7.3865,7.086,6.843,6.6336,6.8659,6.8203,5.4131,7.7206,6.1951,8.0804,8.0255,7.9311,6.472,7.654,7.4984,7.9995,8.0994,6.7266,7.3327,7.2698,8.3146,7.7588,6.6177,7.5861,6.6484,5.8376,9.1618,7.665,6.5083,6.6233,7.895,7.7088,6.9504,6.9775,6.8927,7.5328,8.4438,9.1961,7.3026,5.7153,8.6653
7.0407,7.2442,7.1194,7.9616,6.6227,7.2783,6.5471,6.6504,6.4559,6.3519,6.5117,4.9298,7.1374,6.1473,7.5591,7.3883,7.0556,6.5866,7.1468,7.1606,7.5771,7.7409,6.3297,6.9324,6.6088,8.0041,7.2589,6.0723,7.0659,6.182,5.9013,8.6469,7.0649,6.1022,6.2048,6.8533,7.2293,6.5511,6.561,6.5332,6.9883,8.9449,8.9462,7.0949,5.8866,8.4478
7.0673,7.2738,7.1665,8.2741,6.859,7.1121,6.6977,6.5421,6.5866,6.7862,6.4662,4.9588,7.3136,6.0645,7.8864,7.914,7.3498,6.57,7.6962,7.2476,7.7763,8.1838,6.6156,7.0511,7.0698,8.248,7.4414,6.3699,7.2915,6.3775,5.7328,8.9197,7.4183,6.4102,6.5549,7.5573,7.7839,6.9122,6.8234,6.8701,7.17,8.5752,9.1387,6.9385,5.9385,8.4384
6.9556,7.4358,7.1785,8.3389,6.9374,7.2098,6.8054,6.6917,6.6907,6.68,6.6359,5.2087,7.429,5.9961,7.9581,7.8105,7.4923,6.5031,7.6227,7.3143,7.8605,8.2041,6.5371,7.1405,6.9595,8.3515,7.5999,6.3809,7.3989,6.4003,5.8589,9.1253,7.4492,6.3292,6.4381,7.5293,7.6558,6.9614,6.7349,6.6298,7.2919,7.9489,9.1174,7.2047,5.7272,8.5939
7.2109,7.1503,6.886,8.2681,6.7483,7.0627,6.4372,6.5454,6.2647,6.4194,6.5016,5.2843,7.152,6.063,7.6011,7.4891,7.1244,6.4149,7.2143,7.0918,7.4145,7.8495,6.4978,7.0593,6.7725,7.8105,7.26,6.2109,7.0537,6.05,5.8198,8.7066,7.1435,5.9956,6.3548,7.298,7.2569,6.6685,6.6963,6.7555,7.059,8.6407,8.9275,6.8304,5.8215,8.4455
6.6713,7.8061,7.7085,8.6511,7.6371,7.4997,7.3567,7.1414,7.0707,7.5481,6.9941,5.8793,8.1743,6.4487,8.6738,8.5607,7.8333,7.0167,8.0849,7.7694,8.0555,8.6941,7.1541,7.5817,7.6533,8.5167,8.0333,7.2447,7.8675,6.8494,5.918,9.578,8.5412,7.5566,7.1981,8.147,7.9762,7.9865,7.1463,7.8807,7.7231,11.976,9.4507,7.6719,6.644,8.3355
6.8175,7.6323,7.6685,8.7153,7.4014,7.4454,7.2479,7.3879,6.9351,7.1354,6.9645,5.5954,8.2959,6.309,8.564,8.2063,7.5956,6.6615,8.0481,7.724,7.8857,8.251,6.7611,7.4509,7.437,8.398,7.9921,6.8744,7.7384,6.9781,6.038,9.4863,8.1153,7.0939,6.8007,7.9637,8.2991,7.3774,6.7559,7.4371,7.7964,8.0155,10.658,8.2461,6.1043,11.017
6.6967,7.9481,7.6959,8.6739,7.7228,7.4319,7.3793,7.1903,7.1728,7.5032,6.9554,5.8007,8.4552,6.7412,8.6274,8.7643,8.1385,6.8525,8.2757,7.7565,8.1753,8.6139,7.0056,7.771,7.5581,8.5748,8.1356,7.1305,7.9321,7.0446,6.1297,9.641,8.6161,7.5258,7.1123,8.1898,8.209,7.7912,7.1476,7.6094,7.8436,7.5665,9.196,7.4976,6.2173,8.316
6.7784,7.7084,7.4537,8.6273,7.5267,7.3995,7.38,7.0825,7.1774,7.3994,7.1866,5.6625,8.274,6.5063,8.7286,8.4121,7.791,6.8354,8.1256,7.6016,7.9586,8.5036,7.0058,7.5973,7.4764,8.6427,8.0343,7.1779,7.7277,6.9071,6.082,9.6394,8.3184,7.2185,6.9501,8.1287,8.3799,7.6662,6.9407,7.626,7.7542,10.111,9.1086,7.8312,6.3488,8.4685
6.9679,7.9978,7.838,8.769,7.6354,7.5368,7.6292,7.5227,7.3255,7.5454,7.1543,5.7517,8.538,6.5857,8.8741,8.8416,7.8725,6.9011,8.4238,7.8247,8.1609,8.611,7.1472,7.6319,7.7924,8.5629,8.3356,7.302,7.8884,7.103,6.3211,9.8008,8.815,7.8575,7.2566,8.111,8.4067,8.0411,7.1287,8.1818,7.8373,9.3927,9.29,8.4998,6.5796,10.049
6.7053,11.11,10.632,7.7486,9.7941,12.232,10.283,11.18,10.628,11.355,9.951,6.1485,11.692,10.937,12.291,12.548,9.7337,10.192,11.508,9.5262,9.3609,11.477,9.7009,11.035,10.568,11.183,12.324,11.214,9.1518,6.8346,7.1053,11.982,12.38,11.641,10.426,10.617,10.534,12.185,10.15,12.198,10.61,10.494,10.11,10.486,10.912,8.8086
6.64,10.847,10.506,7.404,9.9731,12.22,10.452,11.163,10.724,11.296,10.133,5.6959,11.513,10.813,12.562,12.584,9.7501,10.201,11.258,9.7005,9.3599,11.465,9.8719,11.198,10.722,11.277,12.447,11.127,9.2734,6.9721,6.8424,12.14,12.536,11.804,10.261,10.795,10.534,12.274,10.207,12.083,10.537,10.997,10.004,10.538,10.787,8.6439
7.0864,9.215,8.1593,7.3556,8.0279,8.9906,8.6921,8.061,7.3715,7.7151,8.0966,5.7284,8.2826,6.3949,9.2271,8.775,8.1686,6.8748,8.4322,8.1402,8.3878,8.8166,7.4249,8.9863,8.0234,9.1991,8.3988,7.1341,8.0789,7.2206,5.9773,9.8447,8.5185,7.409,7.2215,8.2609,8.6164,7.8823,7.018,7.7173,8.1397,7.6974,8.8509,7.9816,6.5098,9.24
6.7102,11.642,10.809,7.7264,10.121,12.5,10.704,11.209,10.134,10.749,10.421,5.7747,11.845,10.686,12.009,12.442,9.2453,9.5291,11.583,9.8141,9.2215,11.23,9.076,11.586,10.116,11.488,12.184,10.744,8.9616,6.7378,6.8717,11.581,12.151,11.392,9.5589,10.163,10.223,12.047,9.7703,11.726,10.451,7.684,10.174,9.0951,10.927,8.7679
6.9489,11.447,10.923,8.1626,10.366,12.484,11.021,11.596,10.478,10.868,10.73,5.7927,11.892,10.875,12.348,12.603,9.2123,9.6033,11.417,9.9542,9.3505,11.351,9.2709,11.743,10.238,11.689,12.232,10.833,8.8894,6.9119,6.8179,11.864,12.421,11.62,9.7855,10.445,10.373,12.184,9.8668,11.882,10.412,7.7598,10.166,9.1459,11.049,8.883
6.9886,11.161,10.119,7.7172,9.3041,11.496,10.221,9.8522,8.1946,8.7347,9.7605,5.7817,10.617,7.9699,10.122,10.438,8.1029,7.5564,9.4013,8.907,8.5633,9.4463,7.6198,11.085,8.5657,10.306,10.09,8.6128,8.0463,6.9509,6.1204,10.208,9.9769,8.8791,7.7307,8.6906,8.6771,10.269,8.0252,9.4571,8.3593,7.5912,9.0897,8.4701,8.5786,9.0825
6.9885,10.917,10.28,8.0562,9.4541,11.412,10.448,9.9574,8.1714,8.8057,9.9129,5.6324,10.565,8.1114,10.128,10.397,8.0782,7.7893,9.3222,9.1827,8.4388,9.5092,7.7788,11.15,8.5049,10.289,10.053,8.6761,8.1148,6.8859,5.915,10.072,10.059,9.0206,7.9448,8.7296,8.6431,10.002,8.0188,9.6201,8.4265,7.4392,9.163,8.2886,8.6465,9.0785
6.8269,9.9258,8.7662,7.5889,8.413,10.235,9.0581,8.3303,7.1736,7.8239,8.3984,5.7921,8.792,6.6795,8.7935,8.5725,7.9688,6.9619,8.3319,8.2764,8.2505,8.7827,7.4302,9.9678,8.1858,9.2765,8.291,7.3884,7.9303,7.1459,6.1366,9.7822,8.2994,7.4798,7.3526,8.2369,8.5944,7.9716,7.2445,7.7808,7.8276,7.7379,8.8219,8.0371,6.8383,9.6114
7.1345,9.9726,9.0811,7.3937,8.5114,10.128,9.3567,8.2812,7.5033,7.672,8.5229,5.7211,8.5822,6.6942,8.9595,8.7119,7.933,6.9635,8.376,8.341,8.2423,8.772,7.5187,9.9074,8.187,9.4806,8.4611,7.3357,7.882,7.1532,6.3949,9.8195,8.6017,7.4894,7.4083,8.366,8.628,7.8253,7.2026,7.6828,8.0729,7.7276,8.7847,8.0906,6.9064,9.4764
6.5728,10.56,9.9645,8.434,9.6264,12.159,10.112,11.193,10.02,11.223,9.7395,5.9474,11.725,10.792,12.254,12.803,9.1394,9.5224,11.584,9.1967,9.1376,11.367,9.2475,10.673,10.367,11.448,12.056,11.04,9.0356,6.9937,6.564,11.656,12.5,12.004,9.6513,10.212,10.081,12.268,10.008,11.972,10.451,11.984,10.043,10.374,10.549,8.6998
6.4196,11.588,10.778,8.2289,10.117,12.531,10.906,11.349,10.169,11.111,10.821,5.6003,12.108,11.093,12.085,12.634,8.8389,9.5929,11.654,9.7801,9.2239,11.277,9.2898,11.237,10.126,11.93,12.11,10.991,8.6094,6.9198,7.142,11.699,12.428,11.54,9.5706,10.032,10.387,12.215,10.088,11.848,10.768,8.1053,10.351,8.9454,11.134,8.2444
6.4402,11.768,10.651,8.495,9.5332,12.155,9.7091,9.9069,8.4508,8.9721,9.5995,5.5624,11.24,9.1405,10.539,11.198,8.0207,7.3524,10.513,9.3009,8.2857,9.5342,7.6926,11.124,8.5825,10.905,10.742,9.0865,7.7636,6.856,6.3911,10.21,10.768,10.17,8.0485,8.8902,8.8839,10.68,8.0841,9.7666,9.0075,8.582,9.4839,8.8032,9.1779,8.3235
6.4137,10.681,9.4138,7.9294,8.8188,11.032,8.8134,8.6865,7.337,7.6115,8.5436,5.4237,9.3352,7.6779,9.0497,9.1815,7.9263,7.1011,8.5655,8.5998,8.2448,8.6156,7.4106,10.086,7.9249,9.7856,8.8325,7.4018,7.7957,7.1314,6.2087,9.6968,8.7668,7.7207,7.1978,8.1841,8.2941,8.4775,7.2704,7.894,8.3176,9.3082,10.035,8.2873,7.3397,8.5047
7.0133,7.2444,7.0916,8.568,6.7038,7.177,6.589,6.6648,6.4164,6.7487,6.5982,4.9883,7.4041,6.0746,7.8485,7.7702,7.3744,6.4731,7.4762,7.1193,7.6732,8.0625,6.5766,6.9027,6.9726,7.9617,7.3942,6.3739,7.2755,6.2836,5.7953,8.8718,7.324,6.2192,6.5667,7.3573,7.3208,6.8704,6.7887,6.7903,7.0772,8.421,9.0864,7.1693,5.7033,8.7186
7.1186,7.3346,7.2227,7.78,6.9103,7.232,6.8271,6.6822,6.6573,6.6583,6.6741,5.2345,7.444,6.1535,7.9235,7.7366,7.4586,6.7046,7.5426,7.2395,7.8692,7.8624,6.7347,7.0524,6.8481,8.2894,7.6679,6.4116,7.3915,6.5556,5.9085,9.1795,7.4839,6.548,6.3949,7.1135,7.7117,6.8656,6.8915,6.8281,7.235,7.7582,9.0122,7.2222,6.0348,8.7299
7.2241,7.1556,7.0009,8.0963,6.5919,7.142,6.391,6.3966,6.3471,6.5019,6.3938,4.9189,7.1362,6.0827,7.3386,7.405,7.0915,6.7726,7.1713,7.1238,7.4614,8.0047,6.5561,6.9053,6.7785,8.0113,7.1499,6.2673,6.9341,6.0927,5.7844,8.7475,7.1174,6.077,6.5595,7.2959,7.1312,6.5337,6.663,6.7553,6.9805,8.4146,8.5999,6.7424,6.0762,8.7478
7.3045,7.333,7.2128,8.5284,6.9178,7.2871,6.7137,6.9209,6.5724,6.9513,6.5485,5.2388,7.5835,6.221,7.9841,7.8121,7.4725,6.6677,7.486,7.1333,7.6998,8.2703,6.7223,7.1401,7.0108,8.031,7.3628,6.4321,7.4001,6.3626,5.8992,9.0726,7.4615,6.3181,6.6356,7.7481,7.4811,7.0108,6.7686,6.9571,7.2872,8.4193,9.1932,6.944,6.0511,8.9629
6.9094,7.3223,7.1795,7.9309,7.0624,7.3474,6.8871,6.7898,6.5449,6.6362,6.659,5.2361,7.7097,6.2009,7.9376,7.7156,7.5272,6.4772,7.6266,7.3214,7.8998,7.6384,6.7301,7.1831,6.641,8.1219,7.7243,6.6402,7.4563,6.5577,5.9064,9.0274,7.5717,6.6073,6.283,7.4439,7.6455,6.6814,6.7258,6.541,7.1617,7.8229,9.23,7.5446,5.7502,8.8666
7.2646,7.1056,7.0686,8.2804,6.5476,7.2102,6.4231,6.4371,6.3142,6.6298,6.5012,5.1219,7.1157,5.9392,7.399,7.2174,7.188,6.8506,7.191,7.0408,7.4062,7.9129,6.5929,7.0425,6.836,8.11,7.2099,6.3197,6.987,6.2199,5.7862,8.6616,7.094,6.1391,6.6552,7.1475,7.1733,6.5587,6.6857,6.863,6.999,8.7119,8.8626,6.8568,6.0306,8.6412
6.8289,7.6299,7.6407,8.4022,7.2756,8.0441,7.449,7.6111,7.1743,7.3251,6.9855,5.6146,8.0961,6.3075,8.113,8.2455,7.8228,7.122,8.1545,7.86,8.2504,8.8064,7.1833,7.5915,7.6723,8.4811,7.8731,6.8586,7.715,7.3548,6.3039,9.6865,7.836,7.0559,7.0418,8.0478,8.2818,7.2978,7.0912,7.1271,7.7767,7.3292,10.575,7.3508,6.725,9.8624
6.6938,7.6524,7.5379,8.0676,7.4786,7.9542,7.2771,7.4537,7.0611,7.4584,6.8734,5.5597,8.0699,6.3085,7.9778,8.2183,7.8841,7.3974,8.0436,7.7894,8.1514,8.5405,7.0788,7.6552,7.6904,8.7044,7.7753,6.938,7.9624,7.1051,6.2214,9.5877,8.091,7.2089,6.9659,8.0425,8.1581,7.467,7.2943,7.1808,7.7852,7.2644,10.49,7.179,6.4929,9.7214
6.7334,7.5482,7.6924,8.6315,7.3127,7.9799,7.3628,7.2609,7.1354,7.2781,6.9569,5.6733,8.0469,6.1085,8.0565,8.4244,7.7603,7.5018,8.0856,7.9185,8.0767,8.5786,7.3665,7.6753,7.4911,8.5866,7.7588,7.1903,7.8303,6.8562,5.7335,9.7898,7.7805,6.9069,6.9471,7.8747,7.9114,7.3042,7.3249,7.3672,7.5864,7.2925,10.314,6.845,6.6975,9.8827
6.5685,7.4183,7.1902,8.1808,6.9468,7.3289,6.7382,6.4578,6.4793,6.7648,6.5752,5.388,7.5942,6.0449,7.8918,7.7161,7.4697,6.6225,7.4335,7.1211,7.6287,8.0547,6.4546,7.1376,7.0496,8.2651,7.434,6.4175,7.3462,6.4347,5.8112,9.033,7.46,6.393,6.5168,7.5061,7.54,6.8443,6.697,6.6674,7.005,8.5863,9.1682,7.1449,5.9723,8.4281
6.9243,7.1785,7.1174,8.3153,6.9189,7.1864,6.7084,6.488,6.3285,6.5187,6.4019,4.9791,7.4528,6.0482,7.6854,7.6232,7.3527,6.4178,7.4701,7.1319,7.8073,7.9473,6.4009,7.0493,6.8749,8.1147,7.3542,6.3334,7.186,6.2039,5.6639,8.8782,7.1766,6.0975,6.3304,7.3399,7.5346,6.8214,6.6363,6.5655,6.9214,7.842,9.0309,7.2159,5.8916,8.7184
7.0597,7.157,6.9677,8.1632,6.754,6.9748,6.512,6.4676,6.3582,6.5774,6.5163,5.0407,7.0389,6.0882,7.5107,7.4917,7.1851,6.6785,7.1775,7.2116,7.4451,7.9713,6.5803,7.0668,6.7753,8.0655,7.2288,6.2835,7.2455,6.1671,5.8507,8.7792,7.0476,6.1161,6.6142,7.3539,7.5089,6.5688,6.711,6.7817,6.9933,8.4292,8.7901,6.8709,5.9893,8.4974
7.1739,12.203,11.227,8.8177,10.762,13.899,11.126,12.169,10.481,10.727,10.655,6.0589,12.818,12.078,12.044,12.621,9.3606,9.5633,11.416,10.57,9.1961,11.133,9.2611,11.827,9.8644,12.655,12.213,10.467,9.5666,7.4974,6.4112,11.776,12.535,12.435,10.085,10.269,10.52,12.47,9.3003,11.569,11.503,7.4128,11.903,10.321,11.987,10.271
7.2565,12.367,11.089,8.0672,10.317,13.644,10.646,11.736,10.124,10.063,10.49,5.8442,12.29,11.396,11.27,12.413,9.2304,9.1462,10.793,10.18,9.2533,10.717,9.0822,11.529,9.432,12.237,11.759,9.7589,8.9384,7.4629,6.6868,11.736,12.223,11.797,9.7386,9.8217,10.323,11.903,9.1579,10.799,10.927,7.4415,11.533,9.929,11.694,9.6385
6.9365,12.008,11.145,8.1601,10.026,13.272,10.255,11.546,9.9171,10.207,10.479,5.639,11.922,10.834,10.882,11.588,9.0472,9.3314,10.955,10.196,9.1061,10.685,9.2709,11.576,9.3566,11.743,11.418,9.735,8.8541,7.5519,6.4502,11.683,11.947,11.696,9.4329,9.7925,10.711,11.548,9.2727,10.985,10.82,7.5014,11.489,9.9606,11.269,10.261
